"Parts List","","","",""
"Item","Qty","Part Number","Description","Material"
"1","1","Servo Gear","","Steel"
"2","1","Bottom Plate","","Steel"
"3","1","Gripper Servo horn","","Steel"
"4","1","Servo Futaba S3003","","Steel"
"5","11","M3 Nut","","Steel"
"6","2","M3x8","","Steel"
"7","1","Top Plate C","","Steel"
"8","5","M3x10","","Steel"
"9","13","M3x16","","Steel"
"10","7","M3 Washer","","Steel"
"11","2","Cilinder","","Steel"
"12","1","Servo Gear B","","Steel"
"13","2","Pivot Arm B","","Steel"
"14","1","Gripper Left B","","Steel"
"15","1","Gripper Right B","","Steel"
